m,train,test
0.0,1.0,0.969
0.01,0.9999,0.978
0.02,0.9993,0.973
0.03,0.9982,0.977
0.04,0.9971,0.98
0.05,0.9956,0.969
0.06,0.995,0.979
0.07,0.9938,0.976
0.08,0.9923,0.976
0.09,0.9927,0.978
0.1,0.9919,0.975
0.11,0.9898,0.976
0.12,0.9897,0.975
0.13,0.9886,0.971
0.14,0.989,0.976
0.15,0.9867,0.97
0.16,0.9856,0.968
0.17,0.9852,0.973
0.18,0.9856,0.971
0.19,0.9848,0.968
0.2,0.9839,0.966
0.21,0.9814,0.968
0.22,0.9818,0.968
0.23,0.9793,0.966
0.24,0.9792,0.965
0.25,0.9803,0.969
0.26,0.9788,0.964
0.27,0.9782,0.966
0.28,0.978,0.965
0.29,0.9761,0.958
0.3,0.9762,0.962
0.31,0.975,0.967
0.32,0.9742,0.961
0.33,0.9747,0.958
0.34,0.9738,0.958
0.35,0.9704,0.953
0.36,0.9704,0.954
0.37,0.9684,0.954
0.38,0.9703,0.95
0.39,0.9704,0.95
0.4,0.969,0.952
0.41,0.9681,0.953
0.42,0.9677,0.957
0.43,0.9657,0.95
0.44,0.9643,0.96
0.45,0.9642,0.952
0.46,0.9634,0.948
0.47,0.9632,0.955
0.48,0.9637,0.955
0.49,0.9622,0.952
0.5,0.9596,0.949
0.51,0.9607,0.958
0.52,0.9582,0.949
0.53,0.9554,0.947
0.54,0.9558,0.946
0.55,0.9596,0.953
0.56,0.9551,0.945
0.57,0.9542,0.942
0.58,0.9508,0.944
0.59,0.9521,0.943
0.6,0.9501,0.937
0.61,0.9506,0.932
0.62,0.9487,0.935
0.63,0.9467,0.93
0.64,0.9441,0.938
0.65,0.9428,0.939
0.66,0.9419,0.925
0.67,0.9442,0.936
0.68,0.9353,0.929
0.69,0.934,0.924
0.7,0.934,0.912
0.71,0.9341,0.926
0.72,0.9289,0.92
0.73,0.9281,0.914
0.74,0.9273,0.927
0.75,0.927,0.914
0.76,0.9263,0.917
0.77,0.9226,0.91
0.78,0.9139,0.897
0.79,0.9177,0.912
0.8,0.9211,0.913
0.81,0.9134,0.896
0.82,0.9099,0.901
0.83,0.9106,0.904
0.84,0.9009,0.886
0.85,0.9059,0.893
0.86,0.902,0.896
0.87,0.8942,0.876
0.88,0.903,0.895
0.89,0.8967,0.882
0.9,0.8924,0.874
0.91,0.8864,0.864
0.92,0.8828,0.864
0.93,0.8759,0.864
0.94,0.8759,0.869
0.95,0.8719,0.85
0.96,0.8743,0.865
0.97,0.865,0.849
0.98,0.86,0.844
0.99,0.8679,0.84
